,TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
0,00:00,6303.320,2810.440,1399.770,1798.260,202.650,32.360
1,00:05,6266.130,2810.400,1384.600,1780.410,198.480,32.160
2,00:10,6239.450,2793.180,1381.430,1776.350,197.120,32.160
3,00:15,6213.660,2779.840,1372.880,1774.670,193.880,31.960
4,00:20,6196.630,2762.970,1372.080,1776.180,193.590,31.660
5,00:25,6190.670,2759.220,1372.370,1774.950,192.910,31.770
6,00:30,6145.410,2743.220,1364.490,1755.860,192.610,31.610
7,00:35,6108.900,2729.670,1349.690,1744.950,192.910,31.610
8,00:40,6074.950,2721.370,1338.370,1731.020,191.770,31.490
9,00:45,6049.880,2700.810,1336.500,1730.750,191.880,31.220
10,00:50,6014.720,2693.850,1323.130,1717.600,192.030,31.240
11,00:55,6008.170,2686.090,1323.750,1718.410,191.680,31.280
12,01:00,5959.540,2669.600,1314.340,1697.860,190.670,31.190
13,01:05,5923.750,2646.520,1309.900,1689.350,190.650,31.070
14,01:10,5897.840,2640.300,1299.500,1681.620,189.660,31.050
15,01:15,5873.230,2630.020,1295.810,1670.600,190.290,31.230
16,01:20,5828.750,2620.070,1277.100,1653.730,190.090,31.270
17,01:25,5807.910,2598.840,1279.230,1653.790,189.760,31.180
18,01:30,5807.600,2601.300,1271.780,1657.730,189.750,31.340
19,01:35,5788.210,2593.350,1261.580,1656.810,189.980,31.470
20,01:40,5764.550,2588.270,1249.810,1649.770,189.760,31.430
21,01:45,5740.390,2576.030,1245.700,1642.700,190.030,31.270
22,01:50,5703.210,2561.120,1235.510,1632.270,188.890,31.280
23,01:55,5684.400,2554.880,1227.080,1628.860,188.670,31.240
24,02:00,5670.120,2542.430,1229.060,1627.170,187.570,31.060
25,02:05,5624.160,2528.950,1215.260,1607.200,188.090,31.150
26,02:10,5603.890,2515.130,1215.100,1600.850,187.810,30.790
27,02:15,5565.860,2505.870,1200.860,1587.650,187.790,30.800
28,02:20,5549.930,2484.350,1206.020,1591.820,187.500,30.720
29,02:25,5512.140,2475.920,1190.150,1574.970,187.660,30.620
30,02:30,5496.430,2469.950,1189.070,1567.200,187.250,30.650
31,02:35,5451.090,2468.160,1145.680,1566.380,187.350,30.650
32,02:40,5443.260,2442.830,1176.420,1556.960,186.680,30.540
33,02:45,5408.580,2426.540,1171.680,1544.430,186.430,30.340
34,02:50,5373.610,2406.910,1159.820,1538.880,186.490,30.190
35,02:55,5347.980,2392.960,1157.590,1531.170,185.270,30.240
36,03:00,5314.390,2379.830,1149.090,1519.180,185.700,30.250
37,03:05,5272.050,2357.920,1143.680,1505.330,185.090,29.940
38,03:10,5246.780,2352.240,1131.490,1498.430,184.880,29.940
39,03:15,5227.050,2343.480,1128.450,1490.690,185.120,29.860
40,03:20,5212.400,2331.880,1123.360,1492.960,184.230,29.700
41,03:25,5185.420,2318.020,1124.450,1480.670,184.220,29.670
42,03:30,5153.200,2310.990,1106.290,1473.940,184.060,29.680
43,03:35,5153.300,2306.680,1108.070,1476.040,183.920,29.510
44,03:40,5140.190,2300.220,1109.070,1478.320,175.200,29.470
45,03:45,5102.510,2284.710,1105.520,1461.850,175.630,29.520
46,03:50,5105.220,2283.880,1102.940,1464.830,175.910,29.360
47,03:55,5087.010,2279.210,1100.830,1453.870,175.360,29.440
48,04:00,5065.140,2269.260,1091.150,1451.980,176.030,29.350
49,04:05,5039.870,2252.980,1086.490,1446.780,175.470,29.150
50,04:10,5012.880,2257.190,1068.590,1431.090,176.120,29.200
51,04:15,5003.020,2213.470,1077.920,1434.320,176.610,29.230
52,04:20,4972.720,2228.260,1065.820,1425.720,176.740,29.210
53,04:25,4956.190,2223.130,1060.810,1420.120,176.180,29.010
54,04:30,4947.260,2214.680,1062.870,1416.970,176.350,29.200
55,04:35,4919.700,2205.000,1055.360,1407.660,175.830,29.120
56,04:40,4892.720,2201.330,1043.270,1395.740,175.710,29.140
57,04:45,4884.950,2195.750,1042.800,1394.390,176.710,29.100
58,04:50,4870.040,2190.810,1037.210,1388.770,177.740,29.250
59,04:55,4830.070,2168.970,1029.880,1378.460,177.760,29.140
60,05:00,4836.290,2167.300,1033.380,1382.470,177.250,29.490
61,05:05,4814.910,2158.680,1030.670,1372.530,178.080,29.710
62,05:10,4781.040,2145.440,1025.380,1357.120,177.970,29.690
63,05:15,4796.350,2143.020,1031.010,1369.350,178.270,29.890
64,05:20,4778.830,2148.370,1025.390,1352.470,178.060,29.860
65,05:25,4757.740,2131.160,1017.960,1353.070,178.330,30.070
66,05:30,4738.680,2127.860,1010.300,1347.300,177.800,29.770
67,05:35,4733.190,2115.020,1015.150,1350.550,177.820,30.080
68,05:40,4689.450,2092.220,1013.560,1333.020,176.570,30.490
69,05:45,4669.470,2097.330,992.200,1324.120,176.400,30.540
70,05:50,4672.130,2082.390,1008.710,1329.240,177.030,30.540
71,05:55,4617.480,2074.990,978.070,1312.770,176.440,30.830
72,06:00,4635.350,2064.110,995.720,1324.220,176.220,31.170
73,06:05,4606.070,2060.240,978.090,1316.100,176.870,30.980
74,06:10,4618.300,2062.330,993.160,1310.300,176.620,31.020
75,06:15,4593.370,2034.250,994.120,1314.060,176.270,31.060
76,06:20,4598.030,2046.040,1000.810,1301.500,174.960,31.030
77,06:25,4592.500,2040.520,1001.440,1301.470,176.000,31.060
78,06:30,4572.950,2018.620,996.740,1302.030,176.250,30.850
79,06:35,4571.210,2022.160,1005.900,1290.860,178.870,30.910
80,06:40,4581.790,2024.830,1010.230,1294.560,179.400,30.900
81,06:45,4555.720,2008.220,994.970,1296.840,181.250,31.180
82,06:50,4531.560,2013.270,982.920,1280.290,180.740,31.220
83,06:55,4499.290,1977.840,989.480,1278.220,182.030,30.980
84,07:00,4533.850,1978.520,1015.560,1283.000,181.360,31.410
85,07:05,4506.670,1980.240,1011.850,1256.600,183.650,31.280
86,07:10,4516.800,1975.210,1017.770,1265.650,184.660,31.630
87,07:15,4464.430,1969.830,993.610,1235.940,192.700,31.740
88,07:20,4472.270,1963.070,972.040,1260.700,194.160,32.050
89,07:25,4491.030,1949.490,1012.920,1261.380,195.680,32.400
90,07:30,4440.980,1932.590,980.490,1256.240,196.730,32.510
91,07:35,4393.690,1903.260,989.220,1227.960,196.920,32.730
92,07:40,4392.310,1937.340,959.940,1219.070,197.670,33.020
93,07:45,4424.720,1929.650,964.990,1258.530,199.070,33.530
94,07:50,4445.000,1941.320,964.140,1245.860,208.970,33.940
95,07:55,4417.620,1937.240,965.970,1230.440,209.500,34.500
96,08:00,4420.400,1919.340,963.200,1249.940,211.350,34.590
97,08:05,4433.250,1936.040,955.800,1237.050,213.080,34.950
98,08:10,4426.550,1953.540,951.650,1229.510,216.250,35.510
99,08:15,4451.360,1921.550,968.880,1254.160,226.620,35.760
100,08:20,4503.560,1959.920,980.410,1259.860,228.080,36.330
101,08:25,4511.810,1958.150,975.880,1266.090,231.640,36.870
102,08:30,4565.420,1990.770,974.980,1279.690,233.880,37.470
103,08:35,4527.480,1970.880,976.320,1261.710,237.190,38.020
104,08:40,4532.420,1974.790,953.820,1263.330,248.360,38.930
105,08:45,4554.780,1977.610,967.700,1279.130,249.240,39.130
106,08:50,4561.560,1989.400,953.790,1284.650,251.970,39.550
107,08:55,4584.090,1979.500,978.200,1288.990,253.370,39.600
108,09:00,4632.610,2009.760,970.240,1303.460,264.090,40.010
109,09:05,4709.230,2019.680,985.020,1357.420,266.430,40.320
110,09:10,4677.340,2018.060,972.560,1336.390,269.750,40.770
111,09:15,4788.210,2078.890,971.320,1376.800,271.710,41.000
112,09:20,4890.620,2089.830,1020.100,1415.010,280.980,40.950
113,09:25,4954.600,2132.900,1014.120,1441.660,283.900,41.400
114,09:30,4961.460,2122.160,1021.020,1447.010,284.620,41.320
115,09:35,5012.010,2146.490,1023.990,1465.310,286.030,41.900
116,09:40,5043.930,2142.170,1021.060,1505.130,288.130,41.840
117,09:45,5126.340,2191.680,1028.900,1525.670,289.440,41.990
118,09:50,5120.730,2182.090,1042.540,1508.310,298.430,42.070
119,09:55,5184.770,2211.710,1051.220,1537.850,294.730,42.100
120,10:00,5201.050,2219.600,1043.270,1551.290,298.750,42.300
121,10:05,5238.790,2242.350,1052.840,1552.770,299.000,42.170
122,10:10,5301.560,2250.440,1077.280,1593.570,299.650,41.870
123,10:15,5316.940,2254.010,1085.090,1580.140,302.720,41.790
124,10:20,5328.760,2226.540,1094.090,1600.310,304.450,41.920
125,10:25,5371.080,2238.850,1102.430,1631.500,305.290,42.300
126,10:30,5411.210,2240.850,1135.490,1630.800,305.830,42.600
127,10:35,5418.560,2255.040,1124.060,1637.900,309.110,42.240
128,10:40,5459.680,2181.740,1151.960,1712.920,313.590,42.060
129,10:45,5495.670,2214.970,1175.610,1697.340,313.190,42.260
130,10:50,5472.140,2196.460,1169.250,1707.060,313.100,42.070
131,10:55,5525.180,2216.500,1179.790,1725.920,314.380,41.970
132,11:00,5544.190,2241.640,1171.170,1719.270,315.190,42.400
133,11:05,5557.840,2227.550,1168.960,1747.980,314.690,41.960
134,11:10,5568.890,2244.270,1190.420,1723.390,315.690,42.000
135,11:15,5578.670,2240.370,1183.840,1744.410,314.590,42.850
136,11:20,5513.500,2188.610,1201.330,1721.060,313.530,42.200
137,11:25,5571.280,2238.470,1190.130,1731.880,315.140,41.570
138,11:30,5579.230,2222.130,1212.940,1733.810,315.990,41.990
139,11:35,5567.670,2215.860,1215.860,1720.550,315.350,42.420
140,11:40,5586.800,2239.160,1204.420,1730.460,315.430,42.350
141,11:45,5610.200,2225.620,1208.760,1754.070,315.360,42.060
142,11:50,5646.030,2233.890,1233.330,1761.590,316.620,42.350
143,11:55,5626.170,2250.620,1221.740,1746.370,312.020,41.990
144,12:00,5650.710,2315.170,1197.660,1727.820,312.630,41.920
145,12:05,5645.480,2249.850,1238.910,1759.890,312.550,41.700
146,12:10,5290.930,2218.150,1161.540,1506.180,312.040,41.670
147,12:15,5316.330,2202.400,1189.930,1524.980,311.160,41.390
148,12:20,5577.570,2284.780,1130.140,1754.100,311.630,41.510
149,12:25,5636.200,2260.240,1232.490,1736.440,311.330,42.190
150,12:30,5661.330,2261.730,1237.100,1751.010,312.690,42.360
151,12:35,5658.880,2251.480,1240.160,1760.310,312.560,42.220
152,12:40,5689.980,2263.170,1251.380,1764.030,314.700,42.850
153,12:45,5700.030,2274.280,1250.610,1764.090,314.500,43.080
154,12:50,5698.400,2277.570,1251.070,1753.810,314.660,43.540
155,12:55,5682.190,2280.080,1229.600,1757.540,315.410,43.440
156,13:00,5631.360,2279.590,1245.190,1690.080,317.190,43.180
157,13:05,5636.990,2269.870,1272.870,1676.980,318.270,43.250
158,13:10,5546.250,2247.340,1237.290,1649.010,318.500,43.470
159,13:15,5567.840,2251.810,1267.390,1655.360,301.360,43.060
160,13:20,5612.480,2283.670,1260.910,1665.980,306.270,42.930
161,13:25,5581.500,2258.540,1251.310,1663.470,313.630,42.790
162,13:30,5602.460,2228.400,1273.140,1667.820,314.430,42.810
163,13:35,5637.100,2306.400,1253.710,1663.700,313.220,41.700
